project_id,plotid,interpreter,comment,is_example,is_complete,is_wetland,uncertainty
Austria,1,1,,0,0,0,0
Austria,1,130,,0,1,0,0
Austria,1,131,,0,1,0,0
Austria,2,131,,0,1,0,0
Austria,3,131,"Waldrandsituation, schwer zu beurteilen",0,1,0,0
Austria,4,131,,0,1,0,0
Austria,5,131,Nadelholzbestand an der Grenze zu einem Launholzbestand,0,1,0,0
Austria,6,129,,0,0,0,0
Austria,6,131,,0,1,0,0
Austria,7,131,,0,1,0,0
Austria,8,131,"Lockerer LÌÄå_rchenbestand an der Waldgrenze, Plot liegt auf einer LÌÄå_cke im Bestand",0,1,0,0
Austria,9,131,,0,1,0,0
Austria,10,131,Laubwald,0,1,0,0
Austria,11,131,,0,1,0,0
Austria,12,131,,0,1,0,0
Austria,13,131,,0,1,0,0
Austria,14,131,"Eventuell  1992, 2002 und 2012 Durchforstungen ?",0,1,0,0
Austria,15,131,StraÌÄüe durch Plot,0,1,0,0
Austria,16,131,Halbes Pixel Wiese,0,1,0,0
Austria,17,131,,0,1,0,0
Austria,18,129,"conifer dominated mixed forest changing to broadleaf dominated  forest, single tree extraction or mortality",0,1,0,0
Austria,18,131,Vermutlich Nutzung ÌÄå_ber VerjÌÄå_ngung,0,1,0,0
Austria,19,131,,0,1,0,0
Austria,20,131,1996 Durchforstung?,0,1,0,0
Austria,21,131,Land Use Forest? Hecke mit Waldanschluss,0,1,0,0
Austria,22,131,,0,1,0,0
Austria,23,131,,0,1,0,0
Austria,24,131,,0,1,0,0
Austria,25,131,,0,1,0,0
Austria,26,131,HÌÄå_lfte Wiese,0,1,0,0
Austria,27,131,,0,1,0,0
Austria,28,131,,0,1,0,0
Austria,29,131,,0,1,0,0
Austria,30,131,,0,1,0,0
Austria,31,131,,0,1,0,0
Austria,32,131,,0,1,0,0
Austria,33,131,"LÌÄå_ckiger Fichtenbestand",0,1,0,0
Austria,34,131,,0,1,0,0
Austria,35,131,,0,1,0,0
Austria,36,129,,0,1,0,0
Austria,36,131,Vermutlich BorkenkÌÄå_ferbefall nach Trockenjahr 2003 allerdings Pixel nur zur HÌÄå_lfte betroffen daher vermutlich schwaches Signal,0,1,0,0
Austria,37,131,,0,1,0,0
Austria,38,131,,0,1,0,0
Austria,39,131,,0,1,0,0
Austria,40,131,,0,1,0,0
Austria,41,129,,0,1,0,0
Austria,41,131,Durchforstung?,0,1,0,0
Austria,42,131,,0,1,0,0
Austria,43,131,,0,1,0,0
Austria,44,131,,0,1,0,0
Austria,45,131,,0,1,0,0
Austria,46,129,,0,1,0,0
Austria,46,131,"Kahlschlag oder Windwurf angrenzend an das Pixel, auf dem Pixel aber Restbestand (<10%) stehen geblieben",0,1,0,0
Austria,47,131,,0,1,0,0
Austria,48,131,,0,1,0,0
Austria,49,131,LÌÄå_ckiger Bestand auf 1800 Meter,0,1,0,0
Austria,50,131,aud Bing Luftbild von durchforstetem Bestand zu sehen,0,1,0,0
Austria,51,131,,0,1,0,0
Austria,52,131,,0,1,0,0
Austria,53,131,,0,1,0,0
Austria,54,131,Laubholzanteil relativ hoch,0,1,0,0
Austria,55,131,,0,1,0,0
Austria,56,131,,0,1,0,0
Austria,57,129,,0,1,0,0
Austria,57,131,,0,1,0,0
Austria,58,129,,0,0,0,0
Austria,58,131,,0,1,0,0
Austria,59,131,,0,1,0,0
Austria,60,131,ca. 75% des Pixels Ackerbode,0,1,0,0
Austria,61,131,,0,1,0,0
Austria,62,129,,0,0,0,0
Austria,62,131,,0,1,0,0
Austria,63,131,,0,1,0,0
Austria,64,131,,0,1,0,0
Austria,65,131,,0,1,0,0
Austria,66,131,Halbes Pixel ist Wiese,0,1,0,0
Austria,67,131,,0,1,0,0
Austria,68,131,,0,1,0,0
Austria,69,131,,0,1,0,0
Austria,70,129,,0,1,0,0
Austria,70,131,"Pixel liegt am Rand eines Kahlschlags, daher nur ein kleiner Teil des Bildes betroffen und schwaches Signal",0,1,0,0
Austria,71,129,,0,1,0,0
Austria,71,131,,0,1,0,0
Austria,72,129,,0,1,0,0
Austria,72,131,,0,1,0,0
Austria,73,129,,0,1,0,0
Austria,73,131,,0,1,0,0
Austria,74,129,,0,1,0,0
Austria,74,131,,0,1,0,0
Austria,75,129,,0,1,0,0
Austria,75,131,,0,1,0,0
Austria,76,129,,0,1,0,0
Austria,76,131,,0,1,0,0
Austria,77,129,,0,1,0,0
Austria,77,131,,0,1,0,0
Austria,78,129,,0,1,0,0
Austria,78,131,,0,1,0,0
Austria,79,129,,0,1,0,0
Austria,79,131,,0,1,0,0
Austria,80,129,,0,1,0,0
Austria,80,131,,0,1,0,0
Austria,81,129,,0,1,0,0
Austria,81,131,,0,1,0,0
Austria,82,129,,0,1,0,0
Austria,82,131,LÌÄå_ckiger Bestand auf 1700 Meter,0,1,0,0
Austria,83,129,,0,1,0,0
Austria,83,131,,0,1,0,0
Austria,84,129,,0,1,0,0
Austria,84,131,,0,1,0,0
Austria,85,129,,0,1,0,0
Austria,85,131,,0,1,0,0
Austria,86,129,,0,1,0,0
Austria,86,131,,0,1,0,0
Austria,87,129,,0,1,0,0
Austria,87,131,,0,1,0,0
Austria,88,129,,0,1,0,0
Austria,88,131,,0,1,0,0
Austria,89,129,,0,1,0,0
Austria,89,131,,0,1,0,0
Austria,90,129,,0,1,0,0
Austria,90,131,,0,1,0,0
Austria,91,129,,0,1,0,0
Austria,91,130,,0,0,0,0
Austria,91,131,,0,1,0,0
Austria,92,129,,0,1,0,0
Austria,92,131,StÌÄå¦rung vor 1984 aber vermutlich keine BÌÄå_ume vorhanden gewesen (Kahlschlag),0,1,0,0
Austria,93,129,,0,1,0,0
Austria,93,131,,0,1,0,0
Austria,94,129,,0,1,0,0
Austria,94,131,,0,1,0,0
Austria,95,129,,0,1,0,0
Austria,95,131,,0,1,0,0
Austria,96,131,,0,1,0,0
Austria,97,131,,0,1,0,0
Austria,98,131,,0,1,0,0
Austria,99,131,,0,1,0,0
Austria,100,131,,0,1,0,0
Austria,101,131,,0,1,0,0
Austria,102,131,,0,1,0,0
Austria,103,131,,0,1,0,0
Austria,104,131,,0,1,0,0
Austria,105,131,,0,1,0,0
Austria,106,131,,0,1,0,0
Austria,107,131,,0,1,0,0
Austria,108,131,,0,1,0,0
Austria,109,131,,0,1,0,0
Austria,110,131,"Waldrand, Signalsprung nicht erklÌÄå_rbar",0,1,0,0
Austria,111,131,,0,1,0,0
Austria,112,131,,0,1,0,0
Austria,113,131,,0,1,0,0
Austria,114,131,,0,1,0,0
Austria,115,131,,0,1,0,0
Austria,116,131,Pixel wird von einem Bach durchflossen,0,1,0,0
Austria,117,131,,0,1,0,0
Austria,118,131,,0,1,0,0
Austria,119,131,Kahlschlag auf einem Drittel des Pixels,0,1,0,0
